Time,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
2024-08-10 18:00:00,2664075.00000000086,266407.500000000086,695613959.17500022455374
2024-08-10 19:00:00,2637579.00000000032,263757.900000000032,686084411.90100008323808
2024-08-10 20:00:00,2651997.19999999999,265199.719999999999,690383823.08719999739674
2024-08-10 21:00:00,2657430.39999999972,265743.039999999972,692260619.19999992706
2024-08-10 22:00:00,2642199.70000000041,264219.970000000041,690528322.79620010715186
2024-08-10 23:00:00,2647765.10000000044,264776.510000000044,690124086.72440011468336
2024-08-11 00:00:00,2653600.19999999953,265360.019999999953,692671913.80619987731543
2024-08-11 01:00:00,2624261.90000000085,262426.190000000085,688939603.82130022314795
2024-08-11 02:00:00,2634480.20000000056,263448.020000000056,692710223.7880001472464
2024-08-11 03:00:00,2640074.80000000024,264007.480000000024,693019635.000000063
2024-08-11 04:00:00,2684619.19999999997,268461.919999999997,710524740.56799999206005
2024-08-11 05:00:00,2678000.70000000094,267800.070000000094,708248167.12830024860086
2024-08-11 06:00:00,2689153.00000000093,268915.300000000093,715559410.92300024746463
2024-08-11 07:00:00,2687006.60000000046,268700.660000000046,714472367.93340012231354
2024-08-11 08:00:00,2726571.00000000026,272657.100000000026,729903056.700000069602
2024-08-11 09:00:00,2768845.6000000001,276884.56000000001,743822681.984000026864
2024-08-11 10:00:00,2775595.50000000136,277559.550000000136,744928198.2675003650036
2024-08-11 11:00:00,2797780.0000000002,279778.00000000002,749186730.6200000535558
2024-08-11 12:00:00,2754548.7000000006,275454.87000000006,731346452.593500159303
2024-08-11 13:00:00,2747156.90000000118,274715.690000000118,724576368.1595003112309
2024-08-11 14:00:00,2747362.9000000016,274736.29000000016,724361460.1253004218512
2024-08-11 15:00:00,2726359.20000000115,272635.920000000115,712550335.0752003005594
2024-08-11 16:00:00,2728179.20000000251,272817.920000000251,712976895.76960065595838
2024-08-11 17:00:00,2690948.90000000243,269094.890000000243,706643181.140000638118
2024-08-11 18:00:00,2700512.00000000265,270051.200000000265,712235735.39200069891365
2024-08-11 19:00:00,2699513.20000000215,269951.320000000215,712455523.744000567428
2024-08-11 20:00:00,2712009.30000000173,271200.930000000173,705556339.4880004500768
2024-08-11 21:00:00,2600878.50000000293,260087.850000000293,665096650.0200007492596
2024-08-11 22:00:00,2609744.90000000155,260974.490000000155,673525573.53690040002555
2024-08-11 23:00:00,2612844.20000000226,261284.420000000226,671208320.84960058056688
2024-08-12 00:00:00,2633019.10000000132,263301.910000000132,672475711.15910033712932
2024-08-12 01:00:00,2572787.00000000084,257278.700000000084,652934748.7950002131794
2024-08-12 02:00:00,2618211.00000000132,261821.100000000132,667842789.03600033670032
2024-08-12 03:00:00,2651561.2000000009,265156.12000000009,676418565.2424002295918
2024-08-12 04:00:00,2681773.20000000081,268177.320000000081,681489523.81080020583639
2024-08-12 05:00:00,2718722.40000000069,271872.240000000069,690283617.360000175191
2024-08-12 06:00:00,2696068.5000000011,269606.85000000011,688629816.270000280962
2024-08-12 07:00:00,2698618.60000000068,269861.860000000068,688970821.6730001736074
2024-08-12 08:00:00,2708563.4999999987,270856.34999999987,695903094.3644996659949
2024-08-12 09:00:00,2688417.29999999908,268841.729999999908,689272557.87779976412488
2024-08-12 10:00:00,2721387.30000000074,272138.730000000074,706929336.14640019222832
2024-08-12 11:00:00,2789185.39999999994,278918.539999999994,736774480.15159998415076
2024-08-12 12:00:00,2826172.10000000143,282617.210000000143,755071226.12910038205453
2024-08-12 13:00:00,2836970.79999999933,283697.079999999933,761842975.60279982007753
2024-08-12 14:00:00,2793183.30000000034,279318.330000000034,730654853.5305000889389
2024-08-12 15:00:00,2817236.00000000023,281723.600000000023,761789066.10800006219269
