Open Time,Open,High,Low,Close,Volume,Quote Asset Volume
2020-02-10 08:00:00,25.070,25.907,24.031,24.555,566537.57,14169071.79624
2020-02-10 12:00:00,24.554,25.401,24.380,25.113,402206.02,10055432.88858
2020-02-10 16:00:00,25.105,25.550,25.066,25.411,254340.63,6446306.14388
2020-02-10 20:00:00,25.411,25.636,24.923,25.189,182007.64,4605321.22413
2020-02-11 00:00:00,25.190,25.264,24.479,24.722,331199.51,8236905.92391
2020-02-11 04:00:00,24.718,24.722,24.250,24.530,249501.62,6099543.17764
2020-02-11 08:00:00,24.530,25.180,24.475,24.975,245726.69,6104984.50908
2020-02-11 12:00:00,24.974,25.332,24.810,25.094,336200.88,8436892.85467
2020-02-11 16:00:00,25.081,25.864,24.825,25.600,438031.63,11093373.48895
2020-02-11 20:00:00,25.599,25.750,25.266,25.705,182401.66,4651088.23905
2020-02-12 00:00:00,25.705,25.977,25.347,25.626,215208.85,5526615.62478
2020-02-12 04:00:00,25.626,26.087,25.499,25.918,219502.02,5643712.00171
2020-02-12 08:00:00,25.918,25.971,25.550,25.862,185046.58,4767785.74165
2020-02-12 12:00:00,25.869,25.918,25.373,25.518,233990.69,5999806.28531
2020-02-12 16:00:00,25.518,25.800,25.473,25.763,148932.81,3817638.97401
2020-02-12 20:00:00,25.765,26.980,25.631,26.451,308604.52,8129605.68485
2020-02-13 00:00:00,26.452,27.397,26.285,26.466,246632.88,6629942.42420
2020-02-13 04:00:00,26.466,26.822,25.733,25.838,263869.41,6934294.43003
2020-02-13 08:00:00,25.829,26.027,24.580,24.951,367184.55,9241050.23559
2020-02-13 12:00:00,24.978,26.380,24.836,25.638,328875.59,8476130.29815
2020-02-13 16:00:00,25.638,25.830,25.180,25.479,115690.47,2948958.60219
2020-02-13 20:00:00,25.479,25.547,24.996,25.456,129502.52,3277093.19203
2020-02-14 00:00:00,25.455,26.161,25.261,25.918,285533.21,7359275.76430
2020-02-14 04:00:00,25.932,25.948,25.043,25.192,227609.03,5786947.42446
2020-02-14 08:00:00,25.193,25.889,25.134,25.591,218044.52,5576414.25608
2020-02-14 12:00:00,25.595,26.030,25.591,25.752,205391.96,5293099.80896
2020-02-14 16:00:00,25.749,26.697,25.740,26.322,219382.84,5775167.21391
