Open Time,Open,High,Low,Close,Volume,Quote Asset Volume
2019-09-08 16:00:00,10000,10357.53,10000,10340.12,471.661,4879792.35634
2019-09-08 20:00:00,10340.12,10412.65,10324.77,10391.63,2624.630,27216488.09363
2019-09-09 00:00:00,10316.62,10316.68,10267.37,10297.89,779.449,8030850.10361
2019-09-09 04:00:00,10297.89,10316.34,10092.71,10149.47,2664.789,27367282.58431
2019-09-09 08:00:00,10149.47,10475.54,10077.22,10414.60,2466.485,25213737.33169
2019-09-09 12:00:00,10411.70,10411.70,10302.69,10314.26,3386.015,35043489.79263
2019-09-09 16:00:00,10314.26,10333.55,10183.31,10308.87,3915.329,40190487.45874
2019-09-09 20:00:00,10307.80,10420.65,10228.28,10307,1612.306,16601362.30055
2019-09-10 00:00:00,10307,10382.97,10266.61,10307.25,1547.455,15983811.89959
2019-09-10 04:00:00,10309.17,10329.24,10226.81,10272.46,1706.083,17540641.00176
2019-09-10 08:00:00,10271.93,10290.01,10206.87,10254.56,1409.001,14445455.44815
2019-09-10 12:00:00,10252.70,10270.58,10167.91,10179.10,1529.810,15638144.34140
2019-09-10 16:00:00,10172.13,10237.41,9940.87,10026.56,1413.946,14376866.27488
2019-09-10 20:00:00,10021.49,10127.22,9991.73,10102.02,1462.660,14732726.20892
2019-09-11 00:00:00,10094.27,10293.11,10051,10093.88,1377.981,13945812.34089
2019-09-11 04:00:00,10091.53,10097.65,9884.31,10067.46,1416.504,14209889.67039
2019-09-11 08:00:00,10068.41,10138.01,9988.69,10070.53,1031.664,10375018.90573
2019-09-11 12:00:00,10062.34,10101.38,9973.15,9991.84,1826.186,18315055.37735
2019-09-11 16:00:00,9992.18,10123.29,9934.11,10077.60,2623.529,26394315.18488
2019-09-11 20:00:00,10073.64,10184.66,10064.11,10159.55,2622.058,26546144.36050
2019-09-12 00:00:00,10163.06,10205.46,10085.88,10113.43,2704.325,27405923.08543
2019-09-12 04:00:00,10116.97,10129.19,10042.12,10078.96,2502.598,25224801.36655
2019-09-12 08:00:00,10079.76,10187.90,10076.95,10170.93,2531.512,25668876.09134
2019-09-12 12:00:00,10170,10365.15,10170,10326.58,2529,25983437.44291
2019-09-12 16:00:00,10327.25,10349.91,10239.42,10308.80,2724.169,28048678.81225
2019-09-12 20:00:00,10301.82,10450.13,10300.85,10415.13,2618.030,27162520.63566
2019-09-13 00:00:00,10414.96,10440.55,10329.30,10364.64,2483.692,25761224.66985
2019-09-13 04:00:00,10364.82,10399.81,10267.89,10284.03,3589.585,37017450.69898
2019-09-13 08:00:00,10283.68,10327.14,10251.99,10306.52,3343.982,34420861.64586
2019-09-13 12:00:00,10306.52,10344,10270,10296.57,3556.490,36644392.93332
2019-09-13 16:00:00,10294.81,10310.08,10186.34,10210.25,3278.396,33557948.70358
2019-09-13 20:00:00,10210.25,10355.85,10153.51,10341.34,3000.576,30803523.15328
2019-09-14 00:00:00,10343.01,10353.72,10267.08,10280.77,3297.903,33972015.49860
2019-09-14 04:00:00,10280.58,10330.61,10259.75,10316.67,2973.282,30594570.79234
2019-09-14 08:00:00,10319.07,10348,10287.53,10291.93,3337.285,34400630.72808
2019-09-14 12:00:00,10292.13,10396.40,10222.77,10358,4138.968,42702660.29919
2019-09-14 16:00:00,10355.61,10398,10325.41,10363.80,3532.679,36613387.58213
2019-09-14 20:00:00,10363.63,10419.97,10317.39,10332.25,3376.507,34987245.43519
2019-09-15 00:00:00,10333.47,10359.20,10024.81,10303.39,3539.363,36519047.17907
2019-09-15 04:00:00,10302.49,10326.59,10273.21,10308.96,3019.367,31117844.68556
2019-09-15 08:00:00,10308.08,10320,10268.55,10296.63,3250.042,33462224.12991
2019-09-15 12:00:00,10296.54,10317.29,10252.28,10306.37,3755.871,38627124.70962
2019-09-15 16:00:00,10306.79,10332.61,10280.14,10294.68,3603.548,37114189.27613
2019-09-15 20:00:00,10294.46,10316.45,10265.32,10302.22,3368.064,34672116.05778
2019-09-16 00:00:00,10302,10353.81,10300,10300.07,3490.788,36056365.49702
2019-09-16 04:00:00,10300.24,10325,10279.69,10302.30,3131.662,32271850.65049
