Open Time,Open,High,Low,Close,Volume,Quote Asset Volume
2020-02-10,25.070,25.907,24.031,25.189,1405091.86,35276132.05283
2020-02-11,25.190,25.864,24.250,25.705,1783061.99,44622788.19330
2020-02-12,25.705,26.980,25.347,26.451,1311285.47,33885164.31231
2020-02-13,26.452,27.397,24.580,25.456,1451755.42,37507469.18219
2020-02-14,25.455,26.697,25.043,26.384,1271237.03,32817983.42742
2020-02-15,26.373,26.600,23.250,24.239,1601280.92,40571935.40173
2020-02-16,24.225,25.302,21.780,23.389,1775025.82,42055798.35577
2020-02-17,23.355,23.623,21.519,23.452,2036473.78,45872599.54061
2020-02-18,23.462,24.519,22.726,24.094,1293664.26,30546919.66474
2020-02-19,24.107,24.392,21.391,22.367,1411342.31,33379978.35090
2020-02-20,22.362,22.723,21.000,22.191,1244980.04,27328018.75877
2020-02-21,22.172,22.933,21.815,22.209,972969.37,21692224.81290
2020-02-22,22.221,22.374,21.510,22.008,736112.42,16187652.61082
2020-02-23,22.007,22.997,21.977,22.868,1007250.63,22824378.55776
2020-02-24,22.871,23.288,21.512,22.110,1270055.15,28491561.85280
2020-02-25,22.111,22.130,20.139,20.340,1444417.18,30267705.10421
2020-02-26,20.345,20.547,17.870,18.729,2294044.51,43683100.68405
2020-02-27,18.723,19.635,17.701,19.154,1684886.46,31740165.79434
2020-02-28,19.150,19.755,17.920,19.001,1718113.47,32323414.26489
2020-02-29,19.001,20.300,18.802,19.257,1734548.17,33787883.51820
2020-03-01,19.250,19.913,18.500,18.900,2131016.51,41112605.97457
2020-03-02,18.909,20.051,18.768,19.900,1782168.95,34843412.66647
2020-03-03,19.901,20.382,19.330,19.685,1607025.05,31699204.00933
2020-03-04,19.684,20.273,19.540,19.969,1399024.21,27811026.36718
2020-03-05,19.969,21.472,19.965,20.754,1955491.71,40873522.86982
2020-03-06,20.750,21.770,20.692,21.379,1659669.26,35201703.50768
2020-03-07,21.379,21.500,19.778,20.269,1393981.18,28857996.77310
2020-03-08,20.270,20.270,16.715,16.897,2287497.85,42527247.23720
2020-03-09,16.886,17.465,15.628,16.589,3446761.01,57190727.58453
2020-03-10,16.603,17.450,16.289,16.850,2417921.41,40766807.88556
2020-03-11,16.868,17.129,15.423,16.591,2157510.13,35400178.71604
2020-03-12,16.591,16.628,8.873,9.277,8451829.08,103182679.17230
2020-03-13,9.230,11.708,6.236,10.958,11581062.71,112147222.21236
2020-03-14,10.952,11.300,9.875,10.135,2772315.36,29727288.25000
2020-03-15,10.140,11.329,9.971,10.393,2073135.23,21690406.84644
2020-03-16,10.388,10.404,8.380,9.422,4585965.54,42760749.88319
2020-03-17,9.432,10.531,9.326,10.241,2676624.01,27015207.48242
2020-03-18,10.237,10.425,9.658,10.392,2128780.82,21568437.49190
2020-03-19,10.393,12.699,10.245,12.267,2968162.77,33507998.67024
2020-03-20,12.263,13.697,10.307,11.911,3028060.57,37441881.80195
2020-03-21,11.912,12.439,11.272,12.101,2299755.97,27346669.20401
2020-03-22,12.105,12.483,11.020,11.160,2451920.35,29051868.28060
2020-03-23,11.159,12.520,10.765,12.172,2267239.39,26327178.14176
2020-03-24,12.174,12.575,11.906,12.404,1739021.07,21313506.46383
2020-03-25,12.400,12.708,11.960,12.304,1748919.99,21495480.73864
2020-03-26,12.307,13.267,12.100,13.202,1089249.85,13625239.21797
2020-03-27,13.201,13.386,12.039,12.317,1496285.83,19357036.04925
2020-03-28,12.300,12.348,11.610,12.175,1325113.38,16002677.22643
2020-03-29,12.177,12.228,11.260,11.267,962357.57,11280805.72999
2020-03-30,11.273,12.424,11.225,12.123,1233496.79,14732997.93602
2020-03-31,12.128,12.750,12.100,12.536,1326495.93,16573287.88250
2020-04-01,12.539,12.748,11.960,12.706,1409144.95,17358637.97804
2020-04-02,12.706,13.755,12.500,13.008,1867018.75,24245784.22024
2020-04-03,13.015,13.578,12.912,13.359,1364218.69,18072583.66141
2020-04-04,13.361,14.051,13.136,13.781,2264887.58,30979831.27916
2020-04-05,13.776,13.969,13.411,13.699,1172217.67,16072572.59323
2020-04-06,13.696,15.232,13.639,15.189,1945463.95,27936637.46410
2020-04-07,15.189,15.512,14.250,14.725,2241051.33,33545982.63596
2020-04-08,14.728,15.377,14.567,15.098,1491320.55,22397653.40256
2020-04-09,15.102,15.218,14.611,15.013,1257983.36,18891449.78728
2020-04-10,15.012,15.082,13.455,13.708,1903505.01,26776139.88945
2020-04-11,13.708,14.090,13.519,13.804,1163328.91,16101132.66501
2020-04-12,13.812,14.846,13.639,14.287,1590489.30,22778957.89270
2020-04-13,14.282,15.075,13.500,15.000,4021749.59,57953460.48156
2020-04-14,15.001,15.954,14.763,15.593,4569526.70,70685920.91092
2020-04-15,15.589,15.811,14.467,14.544,2880471.05,43931002.14745
2020-04-16,14.544,15.767,14.069,15.737,3098334.13,46939671.69670
2020-04-17,15.739,15.920,15.139,15.610,2188537.87,34126606.20656
2020-04-18,15.610,16.823,15.600,16.580,2281422.62,36848836.92032
2020-04-19,16.579,16.669,15.770,16.035,1830505.32,29643710.95509
2020-04-20,16.030,16.456,14.775,14.928,2594135.67,40625517.83062
2020-04-21,14.924,15.422,14.666,15.113,2440212.54,36799224.32379
2020-04-22,15.103,15.823,14.913,15.697,1604788.72,24765776.58051
2020-04-23,15.697,16.463,15.379,16.049,2065896.92,32825762.38781
2020-04-24,16.055,16.269,15.658,15.930,1552796.52,24871460.70848
2020-04-25,15.923,16.449,15.740,16.233,1260384.21,20363758.84563
2020-04-26,16.235,16.430,15.952,16.347,1213378.93,19709369.76134
2020-04-27,16.348,16.567,16.043,16.414,1340597.08,21847468.91659
2020-04-28,16.402,16.465,16.140,16.335,1016776.69,16581599.91329
2020-04-29,16.335,17.495,16.294,17.333,2061367.45,34824416.46856
2020-04-30,17.327,18.137,16.320,16.928,3117440.20,53689140.53733
2020-05-01,16.916,17.856,16.909,17.440,1970326.21,34353980.33841
2020-05-02,17.439,17.568,17.248,17.520,952641.13,16595670.04502
2020-05-03,17.519,17.799,16.771,17.083,1213703.65,20952409.99031
