Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Open Interest (Contracts),Open Interest (Crypto),Open Interest (USD)
8/11/2024,0.008428,0.0087838,0.0076447,0.007718,1.00986E+11,831603718.4,464954.5,4.64954E+12,37368393.16
8/12/2024,0.007718,0.0084943,0.0077001,0.0082245,1.39459E+11,1133505313,437614.2,4.37614E+12,36129428.35
8/13/2024,0.0082246,0.0083785,0.0078855,0.0081801,84779564844,688116959.6,464748.5,4.64748E+12,37398311.79
8/14/2024,0.0081801,0.00847,0.0078957,0.0080066,87296107187,710602725,483876.9,4.83877E+12,39155318.75
8/15/2024,0.0080065,0.0080619,0.0072001,0.0074418,1.08307E+11,835992275.5,500838.4,5.00838E+12,40187273.22
8/16/2024,0.0074418,0.0075847,0.0068622,0.0071743,1.30858E+11,946932029.8,569393.9,5.69394E+12,39931594.21
8/17/2024,0.0071747,0.0077039,0.0071011,0.0074807,76660550829,563047094.9,527643.3,5.27643E+12,38602383.83
8/18/2024,0.0074813,0.0076238,0.0072776,0.007288,67947034850,508302654.6,576336.2,5.76336E+12,43421169.31
8/19/2024,0.0072881,0.0077116,0.0071516,0.0076795,78249952832,577783085.8,527867.9,5.27868E+12,38882749.51
8/20/2024,0.0076796,0.0082859,0.00763,0.007753,1.17757E+11,931121624.7,572749.4,5.72749E+12,44393805.99
8/21/2024,0.007753,0.0080779,0.0074951,0.0079182,78988169198,614249833.4,531520,5.3152E+12,40725062.4
8/22/2024,0.0079182,0.0080733,0.0077201,0.0079815,62593109988,496277557.9,556362.2,5.56362E+12,43885850.34
8/23/2024,0.0079816,0.0092963,0.0079459,0.0090782,1.30207E+11,1096742488,538575.5,5.38575E+12,44287063.36
8/24/2024,0.0090782,0.0098538,0.0088568,0.0094873,1.31705E+11,1225514072,627878.7,6.27879E+12,57752282.83
8/25/2024,0.0094874,0.009528,0.0086832,0.0091357,1.13736E+11,1035498274,620439.5,6.20439E+12,56435176.92
8/26/2024,0.0091358,0.009263,0.0084138,0.0085181,99743442074,885539277.6,580256.3,5.80256E+12,51155395.41
8/27/2024,0.0085181,0.008694,0.0075042,0.0076345,1.12163E+11,919921267.1,565852.1,5.65852E+12,47061919.16
8/28/2024,0.0076345,0.0081325,0.0073344,0.0076822,1.24492E+11,961007786.8,519890.6,5.19891E+12,40192742.29
