Open Time,Open,High,Low,Close,Volume
2019-09-08 16:00:00,10000,10357.53,10000,10340.12,471.661
2019-09-08 20:00:00,10340.12,10412.65,10324.77,10391.63,2624.630
2019-09-09 00:00:00,10316.62,10316.68,10267.37,10297.89,779.449
2019-09-09 04:00:00,10297.89,10316.34,10092.71,10149.47,2664.789
2019-09-09 08:00:00,10149.47,10475.54,10077.22,10414.60,2466.485
2019-09-09 12:00:00,10411.70,10411.70,10302.69,10314.26,3386.015
2019-09-09 16:00:00,10314.26,10333.55,10183.31,10308.87,3915.329
2019-09-09 20:00:00,10307.80,10420.65,10228.28,10307,1612.306
2019-09-10 00:00:00,10307,10382.97,10266.61,10307.25,1547.455
2019-09-10 04:00:00,10309.17,10329.24,10226.81,10272.46,1706.083
2019-09-10 08:00:00,10271.93,10290.01,10206.87,10254.56,1409.001
2019-09-10 12:00:00,10252.70,10270.58,10167.91,10179.10,1529.810
2019-09-10 16:00:00,10172.13,10237.41,9940.87,10026.56,1413.946
2019-09-10 20:00:00,10021.49,10127.22,9991.73,10102.02,1462.660
2019-09-11 00:00:00,10094.27,10293.11,10051,10093.88,1377.981
2019-09-11 04:00:00,10091.53,10097.65,9884.31,10067.46,1416.504
2019-09-11 08:00:00,10068.41,10138.01,9988.69,10070.53,1031.664
2019-09-11 12:00:00,10062.34,10101.38,9973.15,9991.84,1826.186
2019-09-11 16:00:00,9992.18,10123.29,9934.11,10077.60,2623.529
2019-09-11 20:00:00,10073.64,10184.66,10064.11,10159.55,2622.058
2019-09-12 00:00:00,10163.06,10205.46,10085.88,10113.43,2704.325
2019-09-12 04:00:00,10116.97,10129.19,10042.12,10078.96,2502.598
2019-09-12 08:00:00,10079.76,10187.90,10076.95,10170.93,2531.512
2019-09-12 12:00:00,10170,10365.15,10170,10326.58,2529
2019-09-12 16:00:00,10327.25,10349.91,10239.42,10308.80,2724.169
2019-09-12 20:00:00,10301.82,10450.13,10300.85,10415.13,2618.030
2019-09-13 00:00:00,10414.96,10440.55,10329.30,10364.64,2483.692
2019-09-13 04:00:00,10364.82,10399.81,10267.89,10284.03,3589.585
2019-09-13 08:00:00,10283.68,10327.14,10251.99,10306.52,3343.982
2019-09-13 12:00:00,10306.52,10344,10270,10296.57,3556.490
2019-09-13 16:00:00,10294.81,10310.08,10186.34,10210.25,3278.396
2019-09-13 20:00:00,10210.25,10355.85,10153.51,10341.34,3000.576
2019-09-14 00:00:00,10343.01,10353.72,10267.08,10280.77,3297.903
2019-09-14 04:00:00,10280.58,10330.61,10259.75,10316.67,2973.282
2019-09-14 08:00:00,10319.07,10348,10287.53,10291.93,3337.285
2019-09-14 12:00:00,10292.13,10396.40,10222.77,10358,4138.968
2019-09-14 16:00:00,10355.61,10398,10325.41,10363.80,3532.679
2019-09-14 20:00:00,10363.63,10419.97,10317.39,10332.25,3376.507
2019-09-15 00:00:00,10333.47,10359.20,10024.81,10303.39,3539.363
2019-09-15 04:00:00,10302.49,10326.59,10273.21,10308.96,3019.367
2019-09-15 08:00:00,10308.08,10320,10268.55,10296.63,3250.042
2019-09-15 12:00:00,10296.54,10317.29,10252.28,10306.37,3755.871
2019-09-15 16:00:00,10306.79,10332.61,10280.14,10294.68,3603.548
2019-09-15 20:00:00,10294.46,10316.45,10265.32,10302.22,3368.064
2019-09-16 00:00:00,10302,10353.81,10300,10300.07,3490.788
2019-09-16 04:00:00,10300.24,10325,10279.69,10302.30,3131.662
2019-09-16 08:00:00,10301.95,10316.71,10275.74,10282.74,3112.623
2019-09-16 12:00:00,10282.03,10282.03,10115,10120.07,3548.878
2019-09-16 16:00:00,10117.40,10160.39,10080.70,10124.17,3419.057
2019-09-16 20:00:00,10120.37,10329.38,10119.29,10249.27,3482.629
2019-09-17 00:00:00,10257.30,10261.36,10175.20,10224.09,3556.014
2019-09-17 04:00:00,10225.02,10230.79,10165,10201.89,3853.531
2019-09-17 08:00:00,10202.92,10205.81,10136.77,10163,3791.041
2019-09-17 12:00:00,10162.70,10244.27,10151.62,10201.14,3859.972
2019-09-17 16:00:00,10201.09,10262.49,10200.39,10255.91,3683.462
2019-09-17 20:00:00,10256.52,10270.63,10171.37,10186.52,3775.587
2019-09-18 00:00:00,10183.87,10256.65,10183.87,10206.05,3573.478
2019-09-18 04:00:00,10206.02,10228.41,10185.60,10198.54,3431.504
2019-09-18 08:00:00,10199.39,10199.47,10150,10156.12,3257.517
2019-09-18 12:00:00,10156.70,10210,10097.92,10172.91,4003.080
2019-09-18 16:00:00,10172.84,10212.25,10132.51,10171.17,3340.706
2019-09-18 20:00:00,10172.65,10211.90,10143,10155.16,3226.610
2019-09-19 00:00:00,10154.70,10185.55,9530.02,9821.97,4653.142
2019-09-19 04:00:00,9820.96,9916,9780.75,9872.38,3896.305
2019-09-19 08:00:00,9872.71,9895.37,9820,9856.50,3859.260
2019-09-19 12:00:00,9856.50,9893.57,9845.11,9880.36,3577.789
2019-09-19 16:00:00,9882,10109.51,9875.25,10086.98,4871.372
2019-09-19 20:00:00,10088.91,10331.62,10088.91,10245.30,5370.886
2019-09-20 00:00:00,10247.70,10279.30,10154.70,10214.76,4230.857
2019-09-20 04:00:00,10212.78,10222.92,10148.99,10156.45,3706.694
2019-09-20 08:00:00,10156.11,10187.10,10121.30,10173.72,3454.159
2019-09-20 12:00:00,10172.45,10236.19,10141.31,10180.66,4066.386
2019-09-20 16:00:00,10179.55,10189.13,10070.50,10161.60,3987.006
2019-09-20 20:00:00,10161.40,10185.34,10070.67,10166.35,3820.808
2019-09-21 00:00:00,10166.56,10175.30,10116.80,10124.75,3662.893
2019-09-21 04:00:00,10124.35,10126.81,9963.02,10079.89,4673.538
2019-09-21 08:00:00,10081.07,10081.07,9983.25,10046.60,3967.174
2019-09-21 12:00:00,10046.60,10067,9912.63,10037.11,3990.876
2019-09-21 16:00:00,10037.05,10056,9959.97,10016.80,3519.366
2019-09-21 20:00:00,10016.78,10023.56,9943.05,9983.33,3828.540
2019-09-22 00:00:00,9992.70,10001.98,9862.81,9872.07,4561.077
2019-09-22 04:00:00,9872,10053.56,9857,10023.53,3791.352
2019-09-22 08:00:00,10024.91,10089.52,9978.96,10001.83,3755.569
2019-09-22 12:00:00,10000.53,10057.43,9932.01,9989.89,3816.779
2019-09-22 16:00:00,9990,10025,9949.20,9987.48,4011.848
2019-09-22 20:00:00,9987.61,10073.46,9982.60,10023.04,3979.729
2019-09-23 00:00:00,10027.69,10046.91,9950,9975.58,4722.711
2019-09-23 04:00:00,9978.57,9983.81,9878.51,9904,3827.303
2019-09-23 08:00:00,9904,9968.49,9904,9915.09,3484.654
2019-09-23 12:00:00,9914.11,9951.05,9708.91,9867.06,7566.861
2019-09-23 16:00:00,9867.54,9883.89,9779,9805.10,4499.082
2019-09-23 20:00:00,9804.39,9836.28,9620,9701.96,7826.451
2019-09-24 00:00:00,9701.10,9792.83,9603.50,9718.71,4279.612
2019-09-24 04:00:00,9718.63,9791.07,9689,9755.67,2594.573
2019-09-24 08:00:00,9754.05,9768,9680.27,9726.09,3996.677
2019-09-24 12:00:00,9725.67,9729.07,9408.47,9530,15301.878
2019-09-24 16:00:00,8683.20,8689.49,8645.61,8645.61,10.814
2019-09-24 20:00:00,8358.01,8755.44,8137.09,8495.83,23548.671
2019-09-25 00:00:00,8493.32,8725.24,8492.65,8565.61,8267.585
2019-09-25 04:00:00,8565.52,8589.25,8200,8322.35,7839.039
2019-09-25 08:00:00,8325.28,8546.73,8215,8327.38,7480.944
2019-09-25 12:00:00,8324.27,8460,8242.61,8293.28,9081.314
2019-09-25 16:00:00,8295.79,8408.31,8223.71,8346.96,6397.273
2019-09-25 20:00:00,8346.96,8628.44,8332.41,8430.07,9155.947
2019-09-26 00:00:00,8428.15,8443.55,8316.61,8361.80,4251.146
2019-09-26 04:00:00,8361.82,8431,8335.72,8379,3154.622
2019-09-26 08:00:00,8378.75,8464.40,8367.89,8387.08,3514.373
2019-09-26 12:00:00,8387,8438.88,7825.89,7921.82,21856.290
2019-09-26 16:00:00,7924.55,8160.50,7700.67,8131.12,22026.303
2019-09-26 20:00:00,8131.23,8157,8010,8060.15,5263.211
2019-09-27 00:00:00,8061.98,8093.21,7940.37,8019.99,4893.075
2019-09-27 04:00:00,8019.15,8081.49,7951.77,8060.01,3443.524
2019-09-27 08:00:00,8060,8128.78,7951.37,7988.08,6616.751
2019-09-27 12:00:00,7984.71,8097,7851.94,7977.10,11382.027
2019-09-27 16:00:00,7976.30,8060.01,7934.73,7990.70,6032.962
2019-09-27 20:00:00,7990.01,8260,7980,8176.52,7666.314
2019-09-28 00:00:00,8178.26,8211.21,8120.02,8164.01,3244.046
2019-09-28 04:00:00,8164.51,8222.11,8141.18,8211.76,2915.339
2019-09-28 08:00:00,8212.47,8243.54,8124.03,8133.23,3799.958
2019-09-28 12:00:00,8132.68,8135.70,8001.14,8064.07,7324.607
2019-09-28 16:00:00,8067.10,8179,8038.28,8146.66,4763.487
2019-09-28 20:00:00,8145.70,8311,8057.35,8195.38,11773.482
2019-09-29 00:00:00,8199,8226.35,8121.96,8130.22,4124.529
2019-09-29 04:00:00,8130.16,8141.26,8040.11,8083.08,4554.654
2019-09-29 08:00:00,8086.33,8116.99,8031.34,8073.12,4084.898
2019-09-29 12:00:00,8072.89,8078.05,7888.98,7965.70,8625.319
